IncidentType,Location,ReportedTime,IncidentStart,IncidentEnd,CaseNumber,Disposition
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : DODDS HALL,9/29/2013 0328,9/29/2013 0328,9/29/2013 0328,2013-001120,CLOSED.  CLEARED BY ARREST
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : IRVIN DRIVE,10/2/2013 0226,10/2/2013 0226,10/2/2013 0226,2013-001130,CLOSED.  CLEARED BY ARREST
OBSTRUCTING OFFICIAL BUSINESS,MIAMI UNIVERSITY : OXFORD CAMPUS : IRVIN DRIVE,10/2/2013 0226,10/2/2013 0226,10/2/2013 0226,2013-001130,CLOSED.  CLEARED BY ARREST
RESISTING ARREST,MIAMI UNIVERSITY : OXFORD CAMPUS : IRVIN DRIVE,10/2/2013 0226,10/2/2013 0226,10/2/2013 0226,2013-001130,CLOSED.  CLEARED BY ARREST
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : ROUDEBUSH HALL,10/2/2013 0402,10/2/2013 0402,10/2/2013 0402,2013-001131,CLOSED.  CLEARED BY SUMMONS
DRUG VIOLATION : DRUG PARAPHERNALIA OFFENSES,MIAMI UNIVERSITY : OXFORD CAMPUS : TAPPAN HALL,10/2/2013 2221,10/2/2013 2221,10/2/2013 2221,2013-001134,CLOSED.  CLEARED BY SUMMONS
DISORDERLY CONDUCT,MIAMI UNIVERSITY : OXFORD CAMPUS : HAVIGHURST HALL,10/6/2013 0043,10/6/2013 0043,10/6/2013 0043,2013-001152,CLOSED.  CLEARED BY ARREST
DISORDERLY CONDUCT,MIAMI UNIVERSITY : OXFORD CAMPUS : HAHNE HALL,10/6/2013 0216,10/6/2013 0216,10/6/2013 0216,2013-001153,CLOSED.  CLEARED BY SUMMONS
ASSAULT : AGGRAVATED,MIAMI UNIVERSITY : OXFORD CAMPUS : BISHOP HALL,10/6/2013 0441,10/6/2013 0330,10/6/2013 0330,2013-001154,CLOSED
INFORMATION,MIAMI UNIVERSITY : OXFORD CAMPUS : BISHOP HALL,10/6/2013 0441,10/6/2013 0330,10/6/2013 0330,2013-001154,CLOSED
DRUG VIOLATION : DRUG PARAPHERNALIA OFFENSES,MIAMI UNIVERSITY : OXFORD CAMPUS : EQUESTRIAN CENTER : EQUESTRIAN CENTER STABLES,10/7/2013 1404,10/7/2013 1404,10/7/2013 1404,2013-001164,CLOSED.  CLEARED BY SUMMONS
DRUG VIOLATION : POSSESSION OF DRUGS,MIAMI UNIVERSITY : OXFORD CAMPUS : DENNISON HALL,10/7/2013 2336,10/7/2013 2336,10/7/2013 2350,2013-001168,CLOSED.  CLEARED BY SUMMONS
DRUG VIOLATION : DRUG PARAPHERNALIA OFFENSES,MIAMI UNIVERSITY : OXFORD CAMPUS : PRESSER HALL,10/7/2013 2348,10/7/2013 2348,10/7/2013 2348,2013-001169,CLOSED.  CLEARED BY ARREST
WEAPONS VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : PRESSER HALL,10/7/2013 2348,10/7/2013 2348,10/7/2013 2348,2013-001169,CLOSED.  CLEARED BY ARREST
DRUG VIOLATION : DRUG PARAPHERNALIA OFFENSES,MIAMI UNIVERSITY : OXFORD CAMPUS : FLOWER HALL,10/9/2013 1358,10/9/2013 1358,10/9/2013 1358,2013-001175,CLOSED.  CLEARED BY ARREST
BREAKING AND ENTERING,MIAMI UNIVERSITY : OXFORD CAMPUS : BACHELOR HALL,10/10/2013 1658,10/9/2013 1630,10/10/2013 0800,2013-001179,CLOSED
SEX OFFENSE,MIAMI UNIVERSITY : OXFORD CAMPUS,10/11/2013 1212,1/14/2013 0000,5/3/2013 0000,2013-001201,OPEN
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : HAVIGHURST HALL,10/12/2013 0307,10/12/2013 0307,10/12/2013 0307,2013-001189,CLOSED.  CLEARED BY SUMMONS
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : SHRIVER CENTER,10/13/2013 0108,10/13/2013 0108,10/13/2013 0108,2013-001193,CLOSED.  CLEARED BY SUMMONS
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : COOK FIELD,10/13/2013 0215,10/13/2013 0215,10/13/2013 0215,2013-001194,CLOSED.  CLEARED BY ARREST
DRUG VIOLATION : POSSESSION OF DRUGS,MIAMI UNIVERSITY : OXFORD CAMPUS : THOMSON HALL,10/15/2013 1533,10/15/2013 1533,10/15/2013 1533,2013-001204,CLOSED.  CLEARED BY SUMMONS
SEX OFFENSE,MIAMI UNIVERSITY : OXFORD CAMPUS,10/17/2013 1600,10/5/2013 0000,10/5/2013 0000,2013-001221,OPEN
SEX OFFENSE,MIAMI UNIVERSITY : OXFORD CAMPUS : NON CAMPUS PROPERTY,10/17/2013 1943,9/29/2013 0000,10/6/2013 0000,2013-001222,OPEN
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : TAPPAN HALL,10/18/2013 0036,10/18/2013 0036,10/18/2013 0036,2013-001218,CLOSED.  CLEARED BY ARREST
DRUG VIOLATION : POSSESSION OF DRUGS,MIAMI UNIVERSITY : OXFORD CAMPUS : TAPPAN HALL,10/18/2013 0036,10/18/2013 0036,10/18/2013 0036,2013-001218,CLOSED.  CLEARED BY ARREST
DRUG VIOLATION : DRUG PARAPHERNALIA OFFENSES,MIAMI UNIVERSITY : OXFORD CAMPUS : TAPPAN HALL,10/18/2013 0036,10/18/2013 0036,10/18/2013 0036,2013-001218,CLOSED.  CLEARED BY ARREST
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : SCOTT HALL,10/18/2013 2150,10/18/2013 2150,10/18/2013 2150,2013-001227,CLOSED.  CLEARED BY ARREST
DRUG VIOLATION : POSSESSION OF DRUGS,MIAMI UNIVERSITY : OXFORD CAMPUS : SCOTT HALL,10/18/2013 2150,10/18/2013 2150,10/18/2013 2150,2013-001227,CLOSED.  CLEARED BY ARREST
